date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,0.597633,1.039092,-0.861802,-0.090685,-0.660636,1.060964,-1.299604,1.045011,0.389603,1.949378
2014-01-03,0.585459,1.050265,-0.63799,-0.11377,-0.641295,1.082158,-1.351018,1.042033,0.387239,1.949171
2014-01-06,0.563558,1.120575,-0.769451,-0.142881,-0.608865,1.122453,-1.366051,1.08087,0.386065,1.937483
2014-01-07,0.569055,1.109496,-0.80487,-0.152617,-0.61661,1.115104,-1.383516,1.079125,0.387663,1.940518
2014-01-08,0.563921,1.095051,-0.831645,-0.134786,-0.60742,1.114754,-1.415757,1.08285,0.391806,1.940352
2014-01-09,0.559195,1.066999,-0.757195,-0.18834,-0.601845,1.098116,-1.436476,1.067367,0.391975,1.943535
2014-01-10,0.530247,1.135273,-0.822609,-0.218883,-0.557934,1.167622,-1.427075,1.132555,0.38587,1.938024
2014-01-13,0.536227,1.131453,-0.82166,-0.228748,-0.565167,1.14895,-1.437041,1.136362,0.38673,1.936604
2014-01-14,0.537561,1.087832,-0.88206,-0.222528,-0.56926,1.165268,-1.485369,1.164089,0.385829,1.939641
2014-01-15,0.530167,1.07246,-0.915676,-0.212416,-0.557855,1.1918,-1.517831,1.191921,0.385946,1.950973
2014-01-16,0.535752,1.069353,-0.92858,-0.303564,-0.566183,1.186047,-1.509591,1.196147,0.366833,1.94068
2014-01-17,0.533187,1.097443,-0.932146,-0.346187,-0.559573,1.19867,-1.517874,1.209142,0.368458,1.94369
2014-01-20,0.547027,1.067556,-0.903937,-0.316336,-0.579152,1.162113,-1.51946,1.16515,0.368953,1.942869
2014-01-21,0.564618,1.071601,-0.871809,-0.343596,-0.606571,1.132261,-1.539051,1.14609,0.365794,1.945794
2014-01-22,0.562044,1.051821,-0.866041,-0.315348,-0.606081,1.135628,-1.531165,1.172515,0.3683,1.948746
2014-01-23,0.560266,1.045915,-0.840517,-0.357427,-0.603766,1.156138,-1.54635,1.209401,0.367892,1.956247
2014-01-24,0.560957,1.026716,-0.847642,-0.34622,-0.607462,1.161064,-1.554875,1.215199,0.371657,1.959843
2014-01-27,0.562517,1.025732,-0.812868,-0.421479,-0.610775,1.171845,-1.56218,1.227797,0.374133,1.956169
2014-01-28,0.569157,1.024022,-0.827816,-0.39026,-0.620426,1.1431,-1.567932,1.201528,0.360541,1.950093
2014-01-29,0.557566,0.980665,-0.819444,-0.406583,-0.603538,1.181623,-1.577164,1.240924,0.361156,1.950176
2014-01-30,0.551568,1.000052,-0.835199,-0.430186,-0.596654,1.209827,-1.569223,1.25353,0.352985,1.95451
2014-02-07,0.550416,0.949086,-0.862181,-0.408729,-0.595351,1.224986,-1.587752,1.280405,0.368843,1.935428
2014-02-10,0.550381,0.923555,-0.873939,-0.447863,-0.598504,1.220557,-1.60115,1.298099,0.379667,1.936326
2014-02-11,0.552171,0.930923,-0.952666,-0.451985,-0.60148,1.217103,-1.612066,1.30728,0.38216,1.928583
2014-02-12,0.559271,0.910838,-0.909218,-0.486498,-0.610372,1.225831,-1.627184,1.313796,0.356865,1.933325
2014-02-13,0.575689,0.831825,-0.881822,-0.460599,-0.633578,1.166958,-1.599237,1.24231,0.353514,1.927985
2014-02-14,0.575763,0.808948,-0.86084,-0.516392,-0.635219,1.181508,-1.612437,1.267162,0.355665,1.933355
2014-02-17,0.576232,0.766806,-0.960299,-0.554554,-0.638252,1.190438,-1.656961,1.286193,0.356969,1.937126
2014-02-18,0.578041,0.757619,-0.935115,-0.546096,-0.641196,1.194277,-1.659252,1.352445,0.35952,1.939539
2014-02-19,0.599003,0.796665,-0.92642,-0.534753,-0.67066,1.132785,-1.60628,1.240923,0.355951,1.92719
2014-02-20,0.577727,0.839548,-0.936973,-0.541297,-0.636474,1.186116,-1.586248,1.294745,0.34824,1.930536
2014-02-21,0.567404,0.866911,-0.933913,-0.62152,-0.621399,1.216812,-1.597106,1.323357,0.353692,1.944623
2014-02-24,0.573342,0.878217,-0.952359,-0.706307,-0.629697,1.223463,-1.628579,1.323954,0.357336,1.957152
2014-02-25,0.567358,0.808218,-0.87436,-0.71241,-0.617221,1.230242,-1.616548,1.325366,0.350142,1.945995
2014-02-26,0.571587,0.815587,-0.825355,-0.685458,-0.625452,1.240237,-1.627049,1.336729,0.352092,1.949567
2014-02-27,0.575066,0.799428,-0.711311,-0.733997,-0.630796,1.233814,-1.627216,1.32277,0.345712,1.947883
2014-02-28,0.580185,0.777092,-0.736819,-0.750486,-0.637228,1.231591,-1.643059,1.322527,0.366176,1.942305
2014-03-03,0.599377,0.804072,-0.615956,-0.768837,-0.665948,1.183234,-1.637674,1.338759,0.370348,1.942124
2014-03-04,0.591645,0.799169,-0.610302,-0.78356,-0.654792,1.223801,-1.637242,1.376136,0.37265,1.944456
2014-03-05,0.588494,0.810426,-0.472028,-0.812074,-0.651826,1.261621,-1.650727,1.428223,0.375044,1.944287
2014-03-06,0.587971,0.812767,-0.464052,-0.830605,-0.650476,1.254954,-1.652133,1.433557,0.373195,1.942054
2014-03-07,0.582695,0.810048,-0.431806,-0.837287,-0.641783,1.258503,-1.650577,1.443643,0.368463,1.946327
2014-03-10,0.576922,0.769332,-0.491344,-0.796709,-0.626528,1.263991,-1.620856,1.444314,0.340407,1.944634
2014-03-11,0.57109,0.761174,-0.507565,-0.809984,-0.616122,1.29057,-1.627518,1.475788,0.358159,1.952248
2014-03-12,0.577306,0.75696,-0.519327,-0.81362,-0.623058,1.279476,-1.627591,1.4629,0.361864,1.941993
2014-03-13,0.566397,0.745543,-0.498442,-0.84591,-0.608139,1.284731,-1.63693,1.459071,0.339474,1.941743
2014-03-14,0.585888,0.732556,-0.515907,-0.845618,-0.634831,1.245952,-1.635647,1.454705,0.337765,1.938903
2014-03-17,0.586985,0.670898,-0.51687,-0.906098,-0.638745,1.298508,-1.65268,1.489345,0.355516,1.955523
2014-03-18,0.574927,0.662008,-0.531207,-0.940267,-0.622466,1.297638,-1.665221,1.464599,0.354914,1.955483
2014-03-19,0.586678,0.660863,-0.543654,-0.925224,-0.640808,1.300157,-1.667441,1.454696,0.353868,1.958285
2014-03-20,0.588914,0.630762,-0.520737,-0.931537,-0.637223,1.293739,-1.642015,1.448024,0.349715,1.957328
2014-03-21,0.584028,0.624245,-0.514921,-0.870626,-0.631857,1.302301,-1.637029,1.441389,0.37159,1.9519
2014-03-24,0.591208,0.650236,-0.537484,-0.799517,-0.642239,1.287841,-1.600417,1.426661,0.385057,1.93442
2014-03-25,0.59411,0.640461,-0.539047,-0.896975,-0.648697,1.278649,-1.585318,1.426417,0.395027,1.932921
2014-03-26,0.585785,0.63826,-0.583571,-0.89241,-0.639065,1.296971,-1.57829,1.423182,0.402654,1.920623
2014-03-27,0.578951,0.628602,-0.608151,-0.810612,-0.627469,0.557767,-1.546445,1.13259,0.548833,1.886095
2014-03-28,0.572537,0.621748,-0.63467,-0.867773,-0.617552,0.555138,-1.518796,1.104251,-0.046353,1.876859
2014-03-31,0.561052,0.615023,-0.63564,-0.970742,-0.598658,0.545677,-1.505129,1.095321,-0.02426,1.87105
2014-04-01,0.56507,0.601081,-0.568278,-0.917189,-0.604793,0.549948,-1.506386,1.108689,-0.023511,1.873767
2014-04-02,0.557199,0.602457,-0.609768,-0.930499,-0.594135,0.563979,-1.491549,1.137892,-0.025523,1.86672
2014-04-03,0.562949,0.598505,-0.654412,-0.912894,-0.601753,0.558479,-1.493835,1.128177,-0.021946,1.864584
2014-04-04,0.556445,0.576879,-0.650097,-0.908788,-0.592509,0.572453,-1.497085,1.149811,-0.016582,1.868176
2014-04-08,0.543024,0.570749,-0.678768,-0.885643,-0.568796,0.579697,-1.497822,1.167067,-0.017468,1.855687
2014-04-09,0.545888,0.564257,-0.719697,-0.896067,-0.574528,0.581385,-1.504038,1.171822,-0.014723,1.857893
2014-04-10,0.532656,0.566744,-0.759984,-0.897079,-0.554663,0.580152,-1.496789,1.165005,-0.014643,1.852489
2014-04-11,0.532983,0.570147,-0.772268,-0.918405,-0.555408,0.579678,-1.492436,1.160487,-0.015425,1.848793
2014-04-14,0.537151,0.564312,-0.790735,-0.962088,-0.562814,0.579987,-1.48619,1.150444,-0.017793,1.852088
2014-04-15,0.538031,0.567557,-0.753905,-0.963628,-0.561716,0.589078,-1.475816,1.175741,-0.017386,1.860074
2014-04-16,0.537541,0.569018,-0.769395,-0.94042,-0.561948,0.595723,-1.46454,1.173933,-0.018227,1.870888
2014-04-17,0.545447,0.562111,-0.785413,-0.976157,-0.572742,0.579206,-1.457586,1.152225,-0.014495,1.866092
2014-04-18,0.543358,0.557486,-0.783841,-0.969598,-0.569554,0.594116,-1.467148,1.155467,-0.008964,1.867937
2014-04-21,0.541814,0.537317,-0.805253,-0.954824,-0.566519,0.579653,-1.457402,1.140757,0.002439,1.859555
2014-04-22,0.534929,0.542596,-0.825932,-0.942948,-0.556721,0.588833,-1.442829,1.139159,0.000731,1.850465
2014-04-23,0.539873,0.540028,-0.841516,-0.898233,-0.562781,0.585322,-1.441748,1.136841,0.013119,1.853387
2014-04-24,0.540356,0.535277,-0.837201,-0.956205,-0.561152,0.57781,-1.436553,1.121545,0.014256,1.851927
2014-04-25,0.512351,0.590447,-0.854734,-0.919999,-0.518186,0.607819,-1.427819,1.16182,0.013651,1.83752
2014-04-28,0.516643,0.499842,-0.889944,-0.816664,-0.521815,0.54002,-1.409941,1.071657,0.014659,1.83455
2014-04-29,0.505256,0.454849,-0.931842,-0.874833,-0.504008,0.567203,-1.409147,1.097307,0.01511,2.078625
2014-04-30,0.514107,0.458408,-0.95797,-0.988048,-0.51799,0.502076,-1.405991,1.051356,0.021785,2.037195
2014-05-05,0.501182,0.439646,-0.93994,-0.951613,-0.504578,0.516915,-1.404171,0.994989,0.024304,1.985337
2014-05-06,0.501617,0.439989,-0.974714,-0.969414,-0.50586,0.511894,-1.41123,1.006522,0.032628,1.865053
2014-05-07,0.498679,0.441647,-0.94148,-0.94206,-0.499388,0.51319,-1.404136,1.004326,0.031263,1.861963
2014-05-08,0.500074,0.44873,-0.961219,-0.969695,-0.501358,0.521104,-1.395476,0.97874,0.029955,1.858039
2014-05-09,0.498693,0.454808,-0.980776,-0.990951,-0.499351,0.525881,-1.382924,0.959261,0.026296,1.853844
2014-05-12,0.497024,0.44395,-0.956703,-0.986994,-0.500358,0.536542,-1.378858,0.969534,0.02952,1.858771
2014-05-13,0.489696,0.447041,-0.96814,-0.976263,-0.488436,0.562494,-1.388402,0.982554,0.026139,1.86575
2014-05-14,0.502605,0.442455,-0.986971,-0.952528,-0.506753,0.534331,-1.374536,0.947421,0.026173,1.861565
2014-05-15,0.500936,0.433519,-0.972334,-0.98096,-0.503109,0.526654,-1.378924,0.90074,0.021486,1.85767
2014-05-16,0.496834,0.436075,-0.958296,-0.97972,-0.497343,0.54217,-1.381657,0.910113,0.020034,1.854651
2014-05-19,0.515532,0.435064,-0.979121,-0.937311,-0.520919,0.547137,-1.394329,0.891736,0.015868,1.868765
2014-05-20,0.522332,0.44019,-0.949379,-0.987328,-0.530314,0.538966,-1.407069,0.846622,0.016186,1.869431
2014-05-21,0.521171,0.429252,-0.962252,-1.002286,-0.530138,0.559073,-1.41709,0.87273,0.016077,1.874153
2014-05-22,0.513072,0.432886,-0.93403,-0.995172,-0.520773,0.562322,-1.428853,0.85427,0.016188,1.872285
2014-05-23,0.518092,0.440394,-0.98366,-0.991665,-0.530714,0.548533,-1.44728,0.837766,0.016334,1.871106
2014-05-26,0.509955,0.411931,-0.985055,-0.853997,-0.519923,0.571499,-1.465997,0.868558,0.015399,1.875618
2014-05-27,0.512102,0.408979,-0.97877,-0.910427,-0.524093,0.574461,-1.472011,0.864858,0.015007,1.875676
2014-05-28,0.504001,0.385279,-1.053305,-0.90697,-0.511904,0.587703,-1.484128,0.874157,0.017364,1.877196
2014-05-29,0.503445,0.402851,-1.002622,-0.818906,-0.506188,0.581406,-1.487354,0.865824,0.014591,1.871593
2014-05-30,0.502421,0.403302,-1.042834,-0.882607,-0.504738,0.586111,-1.495491,0.865585,0.013893,1.874974
2014-06-03,0.505359,0.403315,-0.986401,-0.962797,-0.506562,0.588209,-1.493776,0.849044,0.017552,1.863829
2014-06-04,0.511564,0.392606,-1.007423,-0.928517,-0.5141,0.578325,-1.501061,0.779897,0.015433,1.866797
2014-06-05,0.503054,0.360507,-0.979808,-0.933275,-0.501824,0.59762,-1.503446,0.794658,0.015889,1.870146
2014-06-06,0.502153,0.365275,-0.992974,-0.918708,-0.500191,0.612315,-1.509355,0.806494,0.017151,1.865203
2014-06-09,0.499924,0.369542,-1.012294,-0.928552,-0.494664,0.618407,-1.511468,0.811192,0.014474,1.860665
2014-06-10,0.50094,0.376409,-1.075097,-1.053775,-0.496136,0.618114,-1.526633,0.779898,0.017723,1.866043
2014-06-11,0.497591,0.373587,-1.090902,-1.051411,-0.493568,0.624623,-1.541609,0.785486,0.018308,1.867226
