date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,1.056727,-1.83181,-0.323633,-1.001601,-1.223969,0.502308,-1.156583,0.622725,-0.096021,-0.175614
2014-01-03,1.053598,-1.821834,-0.409765,-0.982209,-1.218225,0.515604,-1.157462,0.627786,-0.093821,-0.173779
2014-01-06,1.044724,-1.727339,-0.420527,-0.958678,-1.212033,0.50604,-1.123672,0.609724,-0.094915,-0.17865
2014-01-07,1.050216,-1.733456,-0.427403,-0.959951,-1.215135,0.531655,-1.12849,0.636335,-0.088816,-0.173019
2014-01-08,1.055348,-1.735791,-0.430645,-0.970694,-1.21724,0.53369,-1.14305,0.637327,-0.082728,-0.172286
2014-01-09,1.049485,-1.694436,-0.420759,-0.944854,-1.213758,0.541379,-1.116018,0.645155,-0.085156,-0.178823
2014-01-10,1.042878,-1.733586,-0.333559,-0.95633,-1.207752,0.533737,-1.099732,0.573106,-0.090907,-0.183566
2014-01-13,1.038513,-1.728114,-0.434183,-0.96414,-1.202396,0.528739,-1.115952,0.560926,-0.083823,-0.178063
2014-01-14,1.046352,-1.708504,-0.530948,-0.967262,-1.212174,0.546742,-1.140675,0.58856,-0.081874,-0.171743
2014-01-15,1.050916,-1.716843,-0.502416,-0.987071,-1.215025,0.563195,-1.171225,0.60787,-0.079545,-0.162469
2014-01-16,1.051657,-1.704583,-0.481102,-0.996273,-1.214782,0.558196,-1.168569,0.599528,-0.090279,-0.149197
2014-01-17,1.052416,-1.718321,-0.502893,-1.013014,-1.214185,0.541077,-1.190011,0.574648,-0.09057,-0.147562
2014-01-20,1.051166,-1.719235,-0.459145,-0.993355,-1.20971,0.521229,-1.194531,0.55851,-0.088092,-0.148042
2014-01-21,1.057894,-1.675074,-0.373789,-1.007961,-1.215384,0.510594,-1.228582,0.553354,-0.08957,-0.146179
2014-01-22,1.058651,-1.766915,-0.412808,-1.02726,-1.220024,0.564469,-1.253891,0.621258,-0.091163,-0.144016
2014-01-23,1.065028,-1.767483,-0.419822,-1.030629,-1.224061,0.551674,-1.25472,0.618223,-0.08814,-0.137569
2014-01-24,1.070775,-1.786613,-0.403778,-1.022176,-1.230721,0.572956,-1.26565,0.641624,-0.09768,-0.134428
2014-01-27,1.072104,-1.765005,-0.332235,-1.014594,-1.230089,0.590561,-1.259203,0.656432,-0.101345,-0.133539
2014-01-28,1.070028,-1.767372,-0.327457,-1.030048,-1.228549,0.603559,-1.262013,0.671585,-0.095079,-0.137673
2014-01-29,1.069842,-1.749896,-0.419382,-1.023532,-1.228194,0.601276,-1.264577,0.665696,-0.089283,-0.136769
2014-01-30,1.072298,-1.75531,-0.411425,-1.02644,-1.232624,0.574657,-1.242017,0.629043,-0.106111,-0.134453
2014-02-07,1.081152,-1.774967,-0.448443,-0.994414,-1.236576,0.615016,-1.255318,0.666921,-0.079625,-0.123766
2014-02-10,1.084331,-1.809718,-0.467086,-0.992339,-1.24213,0.645757,-1.274564,0.707963,-0.07944,-0.119802
2014-02-11,1.085152,-1.805011,-0.459501,-0.988561,-1.244298,0.658527,-1.298225,0.717157,-0.075687,-0.125639
2014-02-12,1.094359,-1.821226,-0.490432,-0.980531,-1.247452,0.696869,-1.328659,0.76029,-0.081184,-0.122465
2014-02-13,1.087617,-1.773127,-0.478766,-0.951215,-1.244716,0.692225,-1.303776,0.742815,-0.085881,-0.131182
2014-02-14,1.094319,-1.789988,-0.502098,-0.934993,-1.250318,0.717403,-1.335568,0.778606,-0.085033,-0.124789
2014-02-17,1.104832,-1.796466,-0.405737,-0.969926,-1.259923,0.74393,-1.361741,0.80289,-0.093529,-0.119793
2014-02-18,1.106783,-1.781516,-0.403128,-0.995757,-1.260698,0.765381,-1.36204,0.827978,-0.088593,-0.114994
2014-02-19,1.103209,-1.783675,-0.413868,-0.992113,-1.259166,0.773098,-1.350346,0.833233,-0.097029,-0.12344
2014-02-20,1.09546,-1.806997,-0.43023,-0.957841,-1.251862,0.704432,-1.308991,0.761129,-0.105398,-0.12597
2014-02-21,1.095766,-1.810339,-0.438251,-0.993388,-1.250117,0.717524,-1.321756,0.767371,-0.096923,-0.119244
2014-02-24,1.111466,-1.829743,-0.422869,-1.052732,-1.259573,0.700689,-1.35863,0.73351,-0.089052,-0.108037
2014-02-25,1.098851,-1.763499,-0.370466,-0.989357,-1.246806,0.647151,-1.31384,0.672066,-0.101833,-0.118343
2014-02-26,1.103567,-1.777402,-0.343882,-0.961592,-1.25334,0.671095,-1.312132,0.697231,-0.095373,-0.117417
2014-02-27,1.093864,-1.759026,-0.360143,-0.915275,-1.249753,0.630038,-1.282922,0.648688,-0.097911,-0.123071
2014-02-28,1.104336,-1.744409,-0.34805,-0.922442,-1.256147,0.630926,-1.294761,0.655952,-0.100271,-0.126596
2014-03-03,1.114446,-1.732787,-0.314755,-0.912061,-1.260696,0.670517,-1.307378,0.700542,-0.110035,-0.109566
2014-03-04,1.115046,-1.720625,-0.325079,-0.878875,-1.259736,0.716447,-1.296421,0.750827,-0.107984,-0.109456
2014-03-05,1.12297,-1.688907,-0.277655,-0.932043,-1.266035,0.720464,-1.270382,0.746897,-0.100297,-0.108653
2014-03-06,1.118276,-1.650732,-0.255732,-0.944213,-1.263052,0.758209,-1.282935,0.800085,-0.101729,-0.111097
2014-03-07,1.112761,-1.622084,-0.208399,-0.981765,-1.258728,0.766743,-1.283123,0.811087,-0.105785,-0.107762
2014-03-10,1.106034,-1.512711,-0.263847,-0.928798,-1.245583,0.748134,-1.244672,0.780186,-0.103689,-0.110542
2014-03-11,1.105853,-1.507822,-0.297736,-0.926509,-1.24352,0.745021,-1.2243,0.782383,-0.105952,-0.123325
2014-03-12,1.106791,-1.507243,-0.321443,-0.929681,-1.240781,0.718606,-1.203003,0.759865,-0.096113,-0.129452
