date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,0.257992,-1.418597,-2.434503,1.20672,-0.12564,-1.103711,-0.412139,-0.371483,-1.555603,-0.761835
2014-01-03,0.267086,-1.465775,-2.495559,1.168071,-0.139553,-1.111654,-0.402506,-0.395902,-1.559635,-0.759347
2014-01-06,0.251522,-1.327231,-2.541257,1.181576,-0.11263,-1.086402,-0.392626,-0.370698,-1.551334,-0.762421
2014-01-07,0.243938,-1.334713,-2.548251,1.182094,-0.100463,-1.068873,-0.397429,-0.307451,-1.549301,-0.755759
2014-01-08,0.198313,-1.377975,-2.507144,1.293795,-0.023656,-1.007881,-0.406675,-0.223314,-1.539285,-0.754662
2014-01-09,0.190041,-1.35699,-2.509735,1.267998,-0.010761,-1.005734,-0.397213,-0.223929,-1.542202,-0.762168
2014-01-10,0.198834,-1.38092,-2.409028,1.292298,-0.025598,-1.020564,-0.38266,-0.259115,-1.545693,-0.766612
2014-01-13,0.198823,-1.377445,-2.418565,1.258847,-0.023354,-1.024475,-0.368714,-0.281289,-1.538525,-0.760814
2014-01-14,0.175336,-1.441559,-2.438599,1.261758,0.015253,-0.986411,-0.378729,-0.205668,-1.539105,-0.753974
2014-01-15,0.147163,-1.459997,-2.439767,1.287205,0.062871,-0.9409,-0.385889,-0.136939,-1.537455,-0.745347
2014-01-16,0.15252,-1.453028,-2.453452,1.274197,0.053644,-0.950004,-0.367351,-0.140663,-1.534926,-0.731516
2014-01-17,0.126266,-1.372341,-2.448106,1.292544,0.101583,-0.903867,-0.374729,-0.084201,-1.538818,-0.730188
2014-01-20,0.145561,-1.398286,-2.444311,1.285256,0.069088,-0.93009,-0.364541,-0.127809,-1.538424,-0.730824
2014-01-21,0.141494,-1.403533,-2.516756,1.278293,0.073748,-0.916446,-0.397256,-0.097617,-1.539101,-0.728985
2014-01-22,0.141325,-1.345003,-2.572785,1.196344,0.071821,-0.921298,-0.396614,-0.091423,-1.535717,-0.727121
2014-01-23,0.146615,-1.345363,-2.571523,1.139615,0.061771,-0.916275,-0.398122,-0.081729,-1.532058,-0.720916
2014-01-24,0.170765,-1.280281,-2.518596,1.131116,0.017851,-0.944686,-0.378488,-0.127245,-1.537633,-0.718005
2014-01-27,0.213596,-1.360301,-2.406198,1.227759,-0.056047,-0.992654,-0.335164,-0.214445,-1.534003,-0.715832
2014-01-28,0.188197,-1.360008,-2.466185,1.225428,-0.013611,-0.965475,-0.327077,-0.165194,-1.525283,-0.718718
2014-01-29,0.175811,-1.370616,-2.432009,1.208254,0.006964,-0.940386,-0.322395,-0.139041,-1.518241,-0.717681
2014-01-30,0.20347,-1.413018,-2.524455,1.254041,-0.040643,-0.968856,-0.29092,-0.197614,-1.53162,-0.715883
2014-02-07,0.17983,-1.471814,-2.248415,1.325824,-0.003611,-0.930315,-0.329727,-0.152153,-1.500389,-0.706983
2014-02-10,0.183931,-1.382311,-2.153575,1.248115,-0.013424,-0.935741,-0.338997,-0.157327,-1.496852,-0.702236
2014-02-11,0.214904,-1.348937,-2.199754,1.254394,-0.065464,-0.980023,-0.311469,-0.226102,-1.491853,-0.707785
2014-02-12,0.215527,-1.351993,-2.190606,1.244042,-0.066513,-0.970426,-0.311572,-0.218637,-1.49265,-0.705108
2014-02-13,0.22641,-1.358918,-2.262315,1.28841,-0.082211,-0.995676,-0.267633,-0.260765,-1.495529,-0.714968
2014-02-14,0.222886,-1.368459,-2.276689,1.275428,-0.07841,-0.987051,-0.277202,-0.239434,-1.496084,-0.708181
2014-02-17,0.241692,-1.287822,-2.216322,1.280571,-0.112561,-1.00022,-0.279168,-0.266658,-1.50415,-0.702484
2014-02-18,0.216482,-1.246638,-2.197109,1.242278,-0.070948,-0.967446,-0.285425,-0.215747,-1.49941,-0.698543
2014-02-19,0.221625,-1.233431,-2.266706,1.165541,-0.078038,-0.983172,-0.287387,-0.235271,-1.509859,-0.706582
2014-02-20,0.205295,-1.151896,-2.316174,1.115111,-0.047214,-0.977743,-0.297061,-0.21269,-1.520444,-0.710933
2014-02-21,0.197267,-1.151587,-2.334975,1.103703,-0.034585,-0.953109,-0.314141,-0.197213,-1.505374,-0.705471
2014-02-24,0.204332,-1.155864,-2.398706,1.038104,-0.04765,-0.935375,-0.34494,-0.193447,-1.483135,-0.695195
2014-02-25,0.227834,-1.23463,-2.261379,1.182522,-0.083164,-0.977627,-0.327475,-0.25071,-1.49807,-0.706147
2014-02-26,0.335386,-1.11826,-2.267344,1.646238,-0.260649,-1.094028,-0.23304,-0.447411,-1.494746,-0.705636
2014-02-27,0.320775,-1.044931,-1.959418,1.60547,-0.235466,-1.078907,-0.180053,-0.423655,-1.487936,-0.713197
2014-02-28,0.371823,-0.908132,-1.982958,1.593018,-0.317716,-1.132865,-0.114628,-0.491598,-1.504324,-0.723251
2014-03-03,0.396226,-0.809983,-1.556098,1.510513,-0.359079,-1.148722,-0.088039,-0.505231,-1.487353,-0.731272
2014-03-04,0.374158,-0.799479,-1.402589,1.580402,-0.324378,-1.11858,-0.045081,-0.459993,-1.485609,-0.732084
2014-03-05,0.353912,-0.743461,-1.174319,1.495953,-0.294058,-1.095697,-0.030367,-0.414683,-1.481223,-0.730705
2014-03-06,0.333115,-0.726597,-1.104998,1.48461,-0.259826,-1.077549,-0.031012,-0.386563,-1.493024,-0.733837
2014-03-07,0.357603,-0.731064,-0.946597,1.541785,-0.297392,-1.100132,-0.003334,-0.429161,-1.498426,-0.730645
2014-03-10,0.313832,-0.378257,-1.101982,1.539286,-0.220897,-1.054235,0.016383,-0.379616,-1.48643,-0.733628
2014-03-11,0.32831,-0.376579,-1.136556,1.468564,-0.242218,-1.076604,0.03535,-0.395863,-1.486836,-0.739471
2014-03-12,0.389774,-0.370424,-1.110355,1.671223,-0.338592,-1.150215,0.078177,-0.506307,-1.479181,-0.743704
2014-03-13,0.365943,-0.419437,-1.060698,1.559658,-0.301563,-1.127644,0.088594,-0.479415,-1.47806,-0.742853
2014-03-14,0.391903,-0.436147,-1.164731,1.547629,-0.341968,-1.148552,0.097595,-0.512493,-1.485453,-0.740867
2014-03-17,0.406232,-0.424832,-1.156476,1.558146,-0.367463,-1.136161,0.100255,-0.489004,-1.454868,-0.731903
2014-03-18,0.350909,-0.440457,-1.103317,1.713004,-0.280513,-1.093415,0.100183,-0.413639,-1.450597,-0.741799
2014-03-19,0.336426,-0.417108,-1.204259,1.661457,-0.258059,-1.082114,0.1057,-0.378273,-1.456983,-0.741018
2014-03-20,0.311284,-0.268916,-1.264001,1.539747,-0.211619,-1.066797,0.127588,-0.342893,-1.454568,-0.7514
