date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,0.652701,1.141065,-0.050636,1.144839,-0.739907,-1.694734,0.498669,-1.398804,1.118344,-1.014624
2014-01-03,0.64191,1.161134,-0.051385,1.109104,-0.723012,-1.680343,0.489773,-1.387119,1.125594,-1.011751
2014-01-06,0.617926,1.240406,0.285049,1.011902,-0.688811,-1.64948,0.476273,-1.358272,1.12454,-1.013427
2014-01-07,0.631209,1.239383,0.556034,0.99348,-0.707333,-1.648737,0.439814,-1.356733,1.126279,-1.006351
2014-01-08,0.641433,1.24283,0.521575,0.949846,-0.720171,-1.640792,0.44104,-1.357231,1.126721,-1.005051
2014-01-09,0.615746,1.279054,0.521802,0.930254,-0.684889,-1.628569,0.464151,-1.34282,1.124964,-1.012095
2014-01-10,0.615185,1.25815,0.598625,0.912065,-0.683601,-1.629288,0.484126,-1.352615,1.114576,-1.016333
2014-01-13,0.613478,1.261698,0.575002,0.922011,-0.679439,-1.632844,0.498229,-1.343652,1.120459,-1.011212
2014-01-14,0.609626,1.187455,0.569076,0.838006,-0.676092,-1.621553,0.497892,-1.327188,1.1186,-1.004345
2014-01-15,0.605686,1.178841,0.08791,0.77393,-0.670044,-1.604768,0.448706,-1.304405,1.121098,-0.996106
2014-01-16,0.609383,1.173287,0.136757,0.736052,-0.675221,-1.614035,0.441064,-1.311803,1.112022,-0.985109
2014-01-17,0.603661,1.201699,-0.100945,0.720957,-0.664319,-1.591304,0.413762,-1.294158,1.114518,-0.983917
2014-01-20,0.578943,1.240638,-0.088538,0.696508,-0.626634,-1.58131,0.41379,-1.274371,1.128314,-0.984709
2014-01-21,0.581948,1.201972,0.010653,0.657185,-0.632162,-1.578272,0.398431,-1.259409,1.130661,-0.982887
2014-01-22,0.602738,1.337041,0.067897,0.617707,-0.665962,-1.599432,0.396597,-1.279682,1.130457,-0.981278
2014-01-23,0.603735,1.315848,-0.26952,0.510376,-0.667623,-1.596428,0.351696,-1.265914,1.137972,-0.975096
2014-01-24,0.60087,1.29143,-0.271771,0.474679,-0.666066,-1.595239,0.327794,-1.261766,1.136888,-0.972322
2014-01-27,0.593671,1.306723,-0.291493,0.396754,-0.656476,-1.590319,0.298572,-1.249284,1.13863,-0.969274
2014-01-28,0.640355,1.302583,-0.312021,0.469258,-0.72326,-1.622249,0.326858,-1.303709,1.140902,-0.971684
2014-01-29,0.631735,1.264918,-0.262019,0.439159,-0.711272,-1.603464,0.313553,-1.282361,1.131067,-0.97058
2014-01-30,0.649446,1.216978,-0.143262,0.439622,-0.738475,-1.610671,0.320875,-1.289727,1.135391,-0.968974
2014-02-07,0.642343,1.144582,-0.033667,0.453025,-0.728246,-1.5961,0.286586,-1.273489,1.144305,-0.960561
2014-02-10,0.666523,1.276687,-0.065025,0.37487,-0.765181,-1.610626,0.294992,-1.296823,1.143797,-0.955491
2014-02-11,0.70244,1.324989,-0.153819,0.41764,-0.814706,-1.64145,0.316588,-1.340338,1.140036,-0.960807
2014-02-12,0.696773,1.288053,-0.115264,0.410967,-0.804712,-1.63115,0.294948,-1.319623,1.137383,-0.958384
2014-02-13,0.665661,1.356414,-0.057822,0.365681,-0.761892,-1.625835,0.295729,-1.30906,1.130502,-0.968937
2014-02-14,0.672995,1.343445,-0.133864,0.29711,-0.773348,-1.627168,0.266296,-1.304708,1.132615,-0.961971
2014-02-17,0.672747,1.294261,-0.109784,0.24153,-0.775142,-1.617337,0.236856,-1.286401,1.134391,-0.955971
2014-02-18,0.654924,1.322085,-0.120677,0.232496,-0.750751,-1.603747,0.226404,-1.26414,1.139041,-0.952613
2014-02-19,0.669416,1.362717,-0.158603,0.235554,-0.770066,-1.625688,0.24085,-1.293177,1.132928,-0.960111
2014-02-20,0.649191,1.393841,-0.178797,0.175372,-0.738851,-1.627953,0.23978,-1.276174,1.129073,-0.965492
2014-02-21,0.648748,1.395006,-0.185933,0.17735,-0.738082,-1.608158,0.226301,-1.269552,1.130139,-0.96074
2014-02-24,0.643042,1.447602,-0.2385,0.14188,-0.729324,-1.573097,0.195601,-1.231658,1.126517,-0.950898
2014-02-25,0.629929,1.347177,-0.328454,0.15503,-0.707202,-1.582154,0.202484,-1.247174,1.120141,-0.96223
2014-02-26,0.639366,1.358128,-0.337585,0.118147,-0.722622,-1.588924,0.206051,-1.249179,1.12047,-0.961545
2014-02-27,0.649287,1.312096,-0.206226,-0.045611,-0.737327,-1.596937,0.21193,-1.265139,1.115626,-0.970017
2014-02-28,0.67174,1.327032,-0.217052,-0.058593,-0.767185,-1.612614,0.203805,-1.275926,1.120619,-0.98158
2014-03-03,0.663961,1.247204,-0.197214,-0.058039,-0.756768,-1.598553,0.181405,-1.277207,1.102833,-0.973366
2014-03-04,0.71692,1.219582,-0.22564,-0.037389,-0.828082,-1.624443,0.211957,-1.303934,1.103054,-0.974551
2014-03-05,0.732144,1.202172,-0.078328,-0.04762,-0.849377,-1.636475,0.172478,-1.310713,1.103757,-0.973022
2014-03-06,0.720955,1.19546,-0.096652,-0.065196,-0.834343,-1.632966,0.209381,-1.311524,1.104341,-0.976913
2014-03-07,0.684721,1.209455,-0.057366,-0.084251,-0.785078,-1.604406,0.215668,-1.272225,1.101161,-0.97377
2014-03-10,0.677445,1.13968,-0.087155,-0.009755,-0.768041,-1.598,0.228552,-1.276229,1.091768,-0.976715
2014-03-11,0.683441,1.140157,-0.03193,-0.023252,-0.774294,-1.61148,0.228334,-1.289974,1.090029,-0.969454
2014-03-12,0.697158,1.135837,0.044359,-0.052134,-0.79042,-1.632639,0.219318,-1.316476,1.089824,-0.972234
2014-03-13,0.686701,1.122175,0.000162,-0.045963,-0.777334,-1.624086,0.198613,-1.31261,1.084669,-0.971112
2014-03-14,0.670683,1.143887,-0.067641,-0.0372,-0.753591,-1.610714,0.201324,-1.287782,1.081521,-0.968459
2014-03-17,0.68923,1.136698,-0.059681,-0.120505,-0.780548,-1.599899,0.198412,-1.254974,1.08719,-0.959714
2014-03-18,0.712143,1.123409,-0.071274,-0.08465,-0.812475,-1.604764,0.226362,-1.280361,0.98269,-0.971272
2014-03-19,0.732135,1.114829,-0.121593,-0.071382,-0.840319,-1.628854,0.24786,-1.303127,1.385866,-0.973019
2014-03-20,0.707021,1.191697,-0.088252,-0.112425,-0.800344,-1.628096,0.260425,-1.288453,1.388486,-0.983988
2014-03-21,0.689002,1.093922,-0.123808,0.017574,-0.77854,-1.640452,0.249503,-1.283056,1.375853,-0.988657
2014-03-24,0.668497,1.092149,-0.11772,0.080838,-0.750816,-1.655967,0.254237,-1.278892,1.393945,-1.001065
2014-03-25,0.667535,1.077576,-0.152749,0.077784,-0.751901,-1.660479,0.239381,-1.279057,1.406537,-0.996223
2014-03-26,0.678875,1.080147,-0.18946,0.129979,-0.769873,-1.65302,0.233255,-1.284273,1.402836,-1.010981
2014-03-27,0.674779,1.048896,-0.178443,0.092688,-0.762925,-1.67127,0.262248,-1.336406,1.387463,-1.01425
2014-03-28,0.65639,1.073467,-0.154337,-0.041114,-0.737378,-1.685209,0.279412,-1.370339,1.396948,-1.027182
2014-03-31,0.638525,1.070705,-0.107498,-0.05718,-0.71025,-1.667518,0.271774,-1.351426,1.400081,-1.029473
2014-04-01,0.658214,1.087446,-0.140455,-0.139584,-0.737607,-1.674192,0.268908,-1.355881,1.399893,-1.027835
2014-04-02,0.647552,1.089747,-0.001313,-0.149747,-0.723873,-1.684708,0.248218,-1.359802,1.393732,-1.034741
2014-04-03,0.652018,1.089507,0.023879,-0.140166,-0.729154,-1.671616,0.25128,-1.34879,1.399293,-1.032317
2014-04-04,0.63501,1.045431,-0.00709,-0.129011,-0.70568,-1.655954,0.201326,-1.336533,1.402411,-1.029565
2014-04-08,0.612422,0.997458,-0.104538,-0.082493,-0.669855,-1.64545,0.175549,-1.323293,1.400223,-1.034818
2014-04-09,0.612633,0.988295,-0.141282,-0.07963,-0.671689,-1.630919,0.158593,-1.321147,1.399276,-1.027223
2014-04-10,0.589584,0.966757,-0.117356,-0.071755,-0.63849,-1.62099,0.145145,-1.312469,1.398287,-1.03297
2014-04-11,0.583074,0.974855,-0.072759,-0.061618,-0.629504,-1.618171,0.149599,-1.305996,1.389176,-1.03601
2014-04-14,0.569417,0.966551,-0.087725,-0.012997,-0.610623,-1.603212,0.156842,-1.27572,1.379391,-1.030989
2014-04-15,0.559048,1.00129,-0.172416,-0.020488,-0.592814,-1.588112,0.160494,-1.257453,1.376954,-1.02882
2014-04-16,0.573705,0.999248,-0.141778,-0.049502,-0.615285,-1.603541,0.167323,-1.281074,1.370592,-1.036378
2014-04-17,0.565093,1.000397,-0.043762,-0.014674,-0.601713,-1.590441,0.14559,-1.266193,1.373718,-1.029098
2014-04-18,0.579119,1.000049,-0.011391,-0.028668,-0.622044,-1.597084,0.137782,-1.26842,1.378917,-1.024548
2014-04-21,0.589603,0.92633,-0.106659,0.015944,-0.636517,-1.606189,0.14214,-1.289017,1.379605,-1.029438
2014-04-22,0.58142,0.931195,-0.156925,0.022285,-0.625336,-1.609848,0.148517,-1.296627,1.375034,-1.035138
2014-04-23,0.574413,0.936287,-0.245454,0.111975,-0.613799,-1.609143,0.146023,-1.28603,1.376757,-1.034112
2014-04-24,0.543798,0.98281,-0.239475,0.12466,-0.566275,-1.589434,0.160531,-1.255098,1.374294,-1.034914
2014-04-25,0.51377,1.034286,-0.187535,0.175588,-0.520331,-1.585384,0.169338,-1.250363,1.370476,-1.047057
2014-04-28,0.486877,1.075728,-0.175208,0.193062,-0.476502,-1.598884,0.164774,-1.243346,1.350882,-1.049969
2014-04-29,0.490098,1.068128,-0.243204,0.100853,-0.48091,-1.560477,0.152217,-1.261211,1.345718,-1.042032
2014-04-30,0.568653,1.157145,-0.278384,0.175397,-0.599258,-1.625947,0.195221,-1.329399,1.345648,-1.031459
2014-05-05,0.540786,1.12812,-0.22113,0.164103,-0.564477,-1.615614,0.190261,-1.307425,1.373615,-1.021072
2014-05-06,0.546308,1.122459,-0.252832,0.120156,-0.573387,-1.61613,0.189341,-1.305901,1.385877,-1.020205
2014-05-07,0.527299,1.165036,-0.239525,0.180543,-0.542864,-1.604351,0.191586,-1.288046,1.382996,-1.025286
2014-05-08,0.542287,1.166889,-0.304156,0.168559,-0.565314,-1.625005,0.191005,-1.305256,1.384204,-1.02755
2014-05-09,0.569528,1.131935,-0.365652,0.196583,-0.606219,-1.648795,0.222985,-1.33768,1.383146,-1.02974
2014-05-12,0.55797,1.038099,-0.371886,0.232282,-0.592615,-1.652744,0.21945,-1.317122,1.383165,-1.027575
2014-05-13,0.54959,1.022093,-0.427843,0.286013,-0.579345,-1.642823,0.208328,-1.311954,1.379875,-1.026306
2014-05-14,0.57014,1.020042,-0.471886,0.261588,-0.608379,-1.65228,0.20959,-1.32845,1.38186,-1.027602
2014-05-15,0.555834,1.049855,-0.536957,0.313647,-0.585986,-1.639046,0.190947,-1.32617,1.378501,-1.031304
2014-05-16,0.528893,1.056792,-0.583729,0.358538,-0.546171,-1.629657,0.176852,-1.298607,1.376751,-1.032942
2014-05-19,0.524059,1.083902,-0.546713,0.419903,-0.533776,-1.599883,0.178073,-1.263725,1.356497,-1.031645
2014-05-20,0.52643,1.087861,-0.591635,0.385314,-0.536468,-1.591606,0.177157,-1.257915,1.357539,-1.03005
2014-05-21,0.530348,1.079751,-0.537457,0.377323,-0.543921,-1.586598,0.175856,-1.245739,1.359913,-1.026329
2014-05-22,0.518673,1.083285,-0.463857,0.368982,-0.529241,-1.57614,0.169952,-1.242047,1.360473,-1.027934
2014-05-23,0.51346,1.058931,-0.510217,0.372795,-0.523705,-1.565563,0.164886,-1.232325,1.365817,-1.026282
2014-05-26,0.551004,1.120305,-0.557341,0.347705,-0.581625,-1.58913,0.18524,-1.268662,1.364599,-1.024693
2014-05-27,0.560102,1.109262,-0.69659,0.332226,-0.596073,-1.591035,0.196512,-1.280509,1.363825,-1.026003
2014-05-28,0.559023,1.107417,-0.791026,0.434457,-0.594577,-1.582519,0.180299,-1.279151,1.365342,-1.022911
2014-05-29,0.551035,1.132662,-0.883873,0.486826,-0.57746,-1.57652,0.183377,-1.280046,1.357989,-1.029498
2014-05-30,0.608091,1.174823,-0.861109,0.459447,-0.66077,-1.612324,0.256161,-1.335234,1.356654,-1.025341
2014-06-03,0.623827,1.17297,-0.539398,0.237106,-0.679886,-1.622538,0.267461,-1.35635,1.363522,-1.0286
2014-06-04,0.600631,1.232249,-0.632335,0.209962,-0.644844,-1.598558,0.265608,-1.328665,1.365158,-1.027645
2014-06-05,0.612886,1.261703,-0.566511,0.14035,-0.663342,-1.599514,0.265126,-1.340415,1.364419,-1.030757
2014-06-06,0.600241,1.281825,-0.65325,0.276902,-0.64489,-1.585133,0.271678,-1.327526,1.365736,-1.029048
2014-06-09,0.66556,1.225918,-0.597246,0.42158,-0.734408,-1.628926,0.33148,-1.392476,1.367697,-1.032413
2014-06-10,0.650857,1.160356,-0.473544,0.398844,-0.714014,-1.605341,0.329851,-1.369476,1.37454,-1.028735
2014-06-11,0.64473,1.149209,-0.532868,0.385612,-0.708293,-1.599534,0.352416,-1.364892,1.371707,-1.026227
2014-06-12,0.64107,1.154507,-0.573568,0.36601,-0.701487,-1.596936,0.373319,-1.365204,1.365358,-1.025921
2014-06-13,0.624457,1.095203,-0.472257,0.382454,-0.681448,-1.58656,0.368305,-1.351113,1.365063,-1.028041
2014-06-16,0.617254,1.080444,-0.536334,0.449842,-0.672173,-1.577494,0.363206,-1.343298,1.3618,-1.027151
2014-06-17,0.602839,1.118371,-0.670686,0.442666,-0.652958,-1.559687,0.363427,-1.317782,1.362062,-1.024606
2014-06-18,0.591651,1.122452,-0.793047,0.458866,-0.6392,-1.552921,0.360167,-1.307084,1.364035,-1.023634
2014-06-19,0.58435,1.087603,-0.781516,0.451391,-0.624608,-1.553881,0.367542,-1.314606,1.358944,-1.029591
2014-06-20,0.597289,1.079207,-0.791852,0.379747,-0.643131,-1.547787,0.359004,-1.308205,1.360459,-1.022994
2014-06-23,0.59112,1.055478,-0.819034,0.379051,-0.634835,-1.536237,0.342838,-1.293962,1.358944,-1.016139
2014-06-24,0.607622,1.065769,-0.841913,0.373576,-0.660587,-1.541375,0.352758,-1.30018,1.357606,-1.012416
2014-06-25,0.635291,1.034502,-0.655616,0.352946,-0.704632,-1.562265,0.376317,-1.336451,1.35558,-1.013561
2014-06-26,0.626455,0.962354,-0.625667,0.372973,-0.693505,-1.546124,0.351462,-1.308505,1.357283,-1.008628
2014-06-27,0.625754,0.942352,-0.606233,0.452423,-0.687612,-1.53468,0.352618,-1.29375,1.371177,-1.004372
2014-06-30,0.614058,0.910813,-0.661988,0.479228,-0.673099,-1.523298,0.333392,-1.28358,1.359222,-1.001717
2014-07-01,0.630038,0.911112,-0.397494,0.449057,-0.695593,-1.528936,0.308578,-0.849732,1.382143,-0.993796
