date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,1.056727,0.590209,0.316481,-0.331434,-1.223969,-0.0693,-0.113657,0.925764,-1.218669,-0.527472
2014-01-03,1.053598,0.683709,0.3683,-0.271558,-1.218225,0.016504,-0.13191,1.051475,-1.221509,-0.525426
2014-01-06,1.044724,0.765832,0.307656,-0.318272,-1.212033,0.053919,-0.096876,1.092339,-1.223648,-0.529704
2014-01-07,1.050216,0.748849,0.251026,-0.341482,-1.215135,0.070428,-0.101886,1.123738,-1.222943,-0.523576
2014-01-08,1.055348,0.744449,0.228355,-0.403356,-1.21724,0.062966,-0.122942,1.098833,-1.217907,-0.52273
2014-01-09,1.049485,0.712916,0.24938,-0.451243,-1.213758,0.04008,-0.114912,1.072411,-1.217401,-0.53148
2014-01-10,1.042878,0.646219,0.079095,-0.376739,-1.207752,-0.008556,-0.10616,0.991943,-1.221122,-0.53618
2014-01-13,1.038513,0.641874,0.062154,-0.330406,-1.202396,-0.025779,-0.099272,0.965898,-1.220266,-0.528995
2014-01-14,1.046352,0.593161,0.119405,-0.38736,-1.212174,-0.008359,-0.120912,1.004788,-1.219963,-0.521989
2014-01-15,1.050916,0.626954,0.044678,-0.406185,-1.215025,-0.091413,-0.117976,0.905865,-1.21959,-0.512961
2014-01-16,1.051657,0.625067,0.114382,-0.382537,-1.214782,-0.116761,-0.107266,0.886374,-1.213101,-0.493655
2014-01-17,1.052416,0.556232,0.166119,-0.35482,-1.214185,-0.157909,-0.09571,0.811347,-1.215181,-0.49225
2014-01-20,1.051166,0.604713,0.110698,-0.346539,-1.20971,-0.1022,-0.090852,0.898219,-1.213709,-0.492616
2014-01-21,1.057894,0.66036,0.077494,-0.353016,-1.215384,-0.143199,-0.09417,0.849073,-1.209933,-0.490885
2014-01-22,1.058651,0.60446,0.02965,-0.322755,-1.220024,-0.133056,-0.106941,0.880539,-1.207901,-0.488797
2014-01-23,1.065028,0.595232,0.078757,-0.251404,-1.224061,-0.130236,-0.116949,0.897132,-1.205,-0.48257
2014-01-24,1.070775,0.559353,0.12648,-0.281289,-1.230721,-0.111084,-0.131321,0.928791,-1.200322,-0.479499
2014-01-27,1.072104,0.66033,0.128847,-0.139178,-1.230089,-0.007378,-0.135394,1.090508,-1.197966,-0.478092
2014-01-28,1.070028,0.660239,0.079103,-0.147998,-1.228549,-0.036344,-0.139556,1.051793,-1.194691,-0.48172
2014-01-29,1.069842,0.658533,0.009783,-0.151533,-1.228194,-0.05012,-0.147783,1.018929,-1.188061,-0.480754
2014-01-30,1.072298,0.674493,0.01497,-0.275403,-1.232624,-0.038242,-0.129854,1.031473,-1.191273,-0.478785
2014-02-07,1.081152,0.774299,-0.131774,-0.335849,-1.236576,-0.111913,-0.146628,0.925037,-1.181674,-0.461872
2014-02-10,1.084331,0.695922,-0.318872,-0.329128,-1.24213,-0.101081,-0.170241,0.959266,-1.178668,-0.457476
2014-02-11,1.085152,0.698155,-0.398514,-0.348997,-1.244298,-0.09362,-0.194975,0.972614,-1.181202,-0.463167
2014-02-12,1.094359,0.677195,-0.418488,-0.369145,-1.247452,-0.079415,-0.216117,1.006141,-1.175606,-0.460222
2014-02-13,1.087617,0.694237,-0.385545,-0.400031,-1.244716,-0.069396,-0.209317,1.055016,-1.176702,-0.469382
2014-02-14,1.094319,0.615944,-0.35399,-0.422203,-1.250318,-0.025095,-0.238398,1.136136,-1.176609,-0.462785
2014-02-17,1.104832,0.577284,-0.262509,-0.400772,-1.259923,-0.012867,-0.280947,1.174233,-1.171895,-0.457423
2014-02-18,1.106783,0.617143,-0.23245,-0.348415,-1.260698,0.033495,-0.302046,1.249457,-1.169245,-0.452864
2014-02-19,1.103209,0.630443,-0.24665,-0.455948,-1.259166,0.029736,-0.293807,1.254392,-1.1731,-0.461205
2014-02-20,1.09546,0.65199,-0.053559,-0.616708,-1.251862,0.054182,-0.304718,1.301361,-1.180965,-0.464482
2014-02-21,1.095766,0.669004,-0.004841,-0.61763,-1.250117,0.077211,-0.320101,1.324074,-1.171909,-0.45834
2014-02-24,1.111466,0.781848,0.079496,-0.559806,-1.259573,0.170292,-0.350891,1.429892,-1.156403,-0.447522
2014-02-25,1.098851,0.56821,-0.03801,-0.53476,-1.246806,0.130433,-0.330099,1.382711,-1.160179,-0.458012
2014-02-26,1.103567,0.549265,0.052571,-0.490036,-1.25334,0.161507,-0.329608,1.428071,-1.154058,-0.457413
2014-02-27,1.093864,0.517369,0.028676,-0.523713,-1.249753,0.134282,-0.307513,1.38225,-1.155352,-0.463986
